,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE
1018,50,3,6,21,15,Kentucky,"Boone County, Kentucky",3.8,10823,11,42,11,4,11,11.4,1,13,128536,5.511923289,0.076858632,0.013225867,66730,92.1,6.6,36.7,30.8,1381,905,28.8,26.8,-0.069444444,152.3,3.8,48.32005793,73.73480663,6.1656018,12,77,8.1,95,137
1323,50,2,3,26,139,Michigan,"Ottawa County, Michigan",4,8807,10,43,10,4,8,10.2,1,14,282250,5.14996522,0.068554035,0.012099203,58989,93.4,6.1,33.7,31.1,1260,792,28.6,26.4,-0.076923077,120.3,3.2,46.81666667,74.48106061,6.698347811,3,83,8,333,203
1231,50,3,5,24,37,Maryland,"St. Mary's County, Maryland",3.6,9449,9,43,10,3,11,8.5,0,13,112587,3.967946196,0.064632347,0.013136508,86987,93.6,6.1,34.2,30.6,1932,1263,27.7,26,-0.061371841,109.7,4.1,45.02432712,68.8733175,9.205538541,8,69,8.8,76,231
3141,50,2,3,55,87,Wisconsin,"Outagamie County, Wisconsin",3.6,8022,10,43,9,4,8,8.9,1,12,184526,1.554491003,0.042955812,0.012437272,58765,93.8,6.1,30.7,27.7,1363,735,24.8,22.2,-0.10483871,109,3.6,43.11445341,79.95238095,7.325196857,122,85,8.6,196,146
1364,50,2,4,27,53,Minnesota,"Hennepin County, Minnesota",3.8,7948,12,47,9,4,9,11.7,0,17,1232483,4.260412673,0.067653339,0.013579903,65834,92.2,8.1,26.9,47,1706,951,19.4,18.8,-0.030927835,108.6,3.4,38.58968347,69.22607781,8.283329789,13,99,8,1312,424
2279,50,4,9,41,67,Oregon,"Washington County, Oregon",3.6,7567,12,36,11,5,13,9.3,0,18,582779,7.878494824,0.096145671,0.012321995,66754,88.7,8.6,33.2,40.7,1795,1055,25.4,24.9,-0.019685039,130.2,4.2,37.18885794,63.27393365,8.821341213,0,97,8.2,409,149
1334,50,2,3,26,161,Michigan,"Washtenaw County, Michigan",4,9156,14,40,11,3,5,10.5,0,18,364709,4.610919721,0.055389967,0.010169752,61003,93.8,8,25.4,52.6,1696,953,20.3,18.6,-0.083743842,122.2,3.4,35.96875,64.0115425,6.662829357,1164,92,7.3,371,299
1801,50,1,1,33,15,New Hampshire,"Rockingham County, New Hampshire",3.8,8757,9,32,10,4,8,8.7,0,16,303251,3.19614423,0.026789554,0.008830968,81198,92.7,3.5,29.5,38.8,2114,1123,25.8,22.4,-0.131782946,124.4,3,38.40964995,72.30454141,9.272215897,94,86,8.6,276,126
2855,50,1,1,50,7,Vermont,"Chittenden County, Vermont",4,7303,13,41,10,2,5,8,0,17,161531,1.476224708,0.030139345,0.009874266,65350,95.4,6,25.5,48.7,1766,1102,20.3,18.5,-0.088669951,118,2.5,37.00453001,59.30127042,8.948095569,2,90,8,201,118
318,50,1,1,9,7,Connecticut,"Middlesex County, Connecticut",3.8,9091,11,29,10,3,8,8.5,0,15,163329,-1.626740039,-0.013898364,0.008302261,79893,94.4,4.3,25.8,40.6,2067,1095,22.5,19.4,-0.137777778,116.2,4.4,38.65166909,72.96164384,8.788219454,787,92,8.2,166,114
3031,50,4,9,53,61,Washington,"Snohomish County, Washington",3.6,7738,12,33,10,5,13,9.1,1,18,787620,9.909055468,0.100761261,0.012356212,70722,89.3,6.8,31.2,29.9,1947,1153,24.3,22.8,-0.061728395,118.7,4.4,36.32357473,61.33738075,9.139783557,439,95,8.1,571,191
1219,50,3,5,24,13,Maryland,"Carroll County, Maryland",4,9177,6,34,9,3,9,11.1,0,13,167656,-0.615325464,0.002667305,0.009889297,85385,95.3,3.4,31.4,33.1,2020,1079,28.6,24.3,-0.15034965,111.5,3.5,42.26980198,79.1334569,9.304107057,45,90,9.2,159,202
1225,50,3,5,24,25,Maryland,"Harford County, Maryland",4,9573,9,37,10,3,11,10.9,0,13,251032,1.021033346,0.023617681,0.010767552,80465,95,6.2,31.1,33.8,1840,1152,26,22.5,-0.134615385,102.9,4.1,43.73097826,69.84809028,8.405779842,608,94,8.8,197,263
1806,50,1,2,34,3,New Jersey,"Bergen County, New Jersey",4,10637,9,23,9,6,10,10,0,23,939151,3.81249108,0.035676004,0.009943023,85806,88.9,5.8,31.9,46.9,2930,1348,26.9,25.5,-0.05204461,122.4,4.2,29.28532423,63.65430267,8.067043917,381,99,9,898,89
2452,50,2,4,46,99,South Dakota,"Minnehaha County, South Dakota",3.6,8298,12,60,8,5,7,9.4,0,12,187318,7.197303852,0.101287554,0.015876744,53525,90.6,8.5,30.5,29.4,1231,713,22,20,-0.090909091,104.4,2.4,43.48090983,75.07012623,6.450691529,3,88,7.9,270,350
2130,50,2,3,39,103,Ohio,"Medina County, Ohio",3.8,9931,11,39,10,5,8,11.7,0,11,177221,1.914867236,0.027112082,0.010540512,66952,93.1,5.2,30.9,30.8,1450,824,27.3,23.7,-0.131868132,138.2,4.3,46.1737931,81.25242718,6.741928305,4,94,8.3,159,50
1134,50,3,7,22,5,Louisiana,"Ascension Parish, Louisiana",4,10922,11,62,12,4,17,10.7,0,13,121587,11.38377508,0.127360896,0.014516355,70551,88.7,9.7,38.2,26,1287,882,29.5,25.7,-0.128813559,163.3,4.9,54.81818182,79.98979592,6.459602193,4,85,7.5,65,261
752,50,2,3,18,81,Indiana,"Johnson County, Indiana",3.6,8984,12,45,11,6,11,11.6,1,12,151982,8.955238129,0.083411153,0.011981682,62147,90.3,7.7,33.9,28.5,1236,849,25.6,24.7,-0.03515625,135.1,3.6,50.28074434,73.20023557,6.917774139,31,87,7.8,136,256
